Target,Sample,Unamp,Amp
INX2,Unk-Cell1,30.1002338,18.30950755
INX3,Unk-Cell1,30.35335675,18.36583263
INX3,Unk-Cell2,30.97571676,19.23411186
INX2,Unk-Cell2,31.0109399,19.40279492
INX2,Unk-Cell3,31.2145377,19.83381233
INX3,Unk-Cell3,31.28727399,19.98066877
INX2,Unk-Cell5,31.53334687,19.54036679
INX1,Unk-Cell1,31.56275989,19.79845964
INX3,Unk-Cell4,31.86029592,20.21377836
INX3,Unk-Cell5,31.96673821,19.95787313
INX2,Unk-Cell4,32.09148541,20.44595702
INX1,Unk-Cell5,32.45955505,21.03761241
Shal,Unk-Cell3,32.62988376,21.22600576
INX1,Unk-Cell2,32.7881423,21.10799401
BKKCa,Unk-Cell1,32.82363364,21.27902853
Shal,Unk-Cell1,33.16436733,21.59611893
INX1,Unk-Cell3,33.21730571,21.6182379
BKKCa,Unk-Cell3,33.23055213,21.67582333
BKKCa,Unk-Cell2,33.23199781,21.82155797
Shal,Unk-Cell5,33.25466656,21.92869263
Shal,Unk-Cell2,33.37291129,21.37339637
INX1,Unk-Cell4,33.62569839,22.08518462
BKKCa,Unk-Cell5,33.87191855,22.42925087
INX4,Unk-Cell5,33.94256573,22.44434098
CaV3,Unk-Cell2,33.98120279,22.79200008
INX4,Unk-Cell2,34.02721292,23.26848917
CaV2,Unk-Cell1,34.22521606,22.58834777
CaV1,Unk-Cell3,34.63567719,22.40606695
CaV2,Unk-Cell3,34.73733741,22.670789
CaV3,Unk-Cell5,34.93769646,23.1399243
CaV3,Unk-Cell4,34.99926164,24.65912228
CaV1,Unk-Cell2,35.01432045,23.59297844
INX4,Unk-Cell4,35.04999977,23.23299543
CaV2,Unk-Cell2,35.07676727,23.70894357
CaV3,Unk-Cell3,35.14742075,24.48120502
CaV3,Unk-Cell1,35.15420531,23.83775009
INX4,Unk-Cell1,35.30702887,22.92678418
Shal,Unk-Cell4,35.41314732,22.99154925
BKKCa,Unk-Cell4,35.53563229,24.00516806
INX4,Unk-Cell3,35.68656464,25.05323546
CaV1,Unk-Cell1,35.74303744,23.37732041
CaV2,Unk-Cell5,36.04391213,24.75442398
CaV2,Unk-Cell4,36.38574381,25.7454676
CaV1,Unk-Cell5,36.55840161,24.27975371
