Cell,Sample,NaV,NALCN,CaV1,CaV2,CaV3,CACNAB,Shaker,Shal,Shab,Shaw1,Shaw2,BKKCa,SKKCa,IH,IRK,KCNH1,KCNH2,KCNH3,KCNK1,KCNK2,KCNQ1,KCNQ2,KCNT1,TRP_A1,TRP_A_like,TRP_M1,TRP_M3,TRP_M_like,DAR1A,DAR2,Dopa_1Br,His_1r,His_3r,HisCL,HTR_1Br,HTR1A,HTR7,kainate_1A,kainate_1B,kainate_2B,GluCl,GABAB_R1,LCCH3r,RDLr,mACHrA,mACHrB,mGABA2,mGABA3,mGluR1,mGluR2,mGluR5,NMDA_1A,NMDA_1B,NMDA_2A,NMDA_2B,NMDA_2_like,ChAT,vAChT,vGluT,CCAPr,ACHE,INX1,INX2,INX3,INX4
LG,LG1,1294,247,203,142,4,161,252,135,132,95,71,571,130,83,75,315,83,134,243,68,20,67,81,147,161,23,96,56,54,340,252,83,43,65,2,129,173,8,30,159,179,545,145,18,33,47,58,30,64,9,226,47,17,299,40,89,73,37,2151,165,1183,8048,11696,4612,21
LG,LG2,4001,386,295,361,10,255,447,393,212,37,0,796,168,255,43,575,91,297,936,180,36,84,146,45,55,12,52,30,40,812,495,39,38,27,4,224,308,7,38,45,206,622,107,45,45,109,88,40,28,2,195,154,21,542,59,176,71,32,4349,372,966,4684,7380,2417,84
LG,LG4,1784,182,168,165,10,127,278,223,114,33,29,437,144,109,62,362,86,179,337,58,36,38,127,71,66,13,50,48,36,321,245,27,17,27,,127,239,5,12,71,140,438,96,23,58,175,144,30,45,11,141,152,30,603,45,171,36,29,1973,156,1605,4705,7731,3855,17
LG,LG6,2267,178,81,140,8,109,212,173,110,33,21,450,83,85,70,262,43,115,238,51,24,45,48,87,64,14,101,51,40,319,188,60,25,48,1,85,264,6,20,23,129,321,109,27,44,114,51,37,53,11,140,135,25,381,36,133,37,29,1844,170,394,2740,3971,1764,30
LG,LG8,4439,299,141,312,24,286,557,454,206,34,25,1028,183,210,47,730,135,452,845,155,50,62,238,83,95,19,61,38,33,534,512,38,35,20,2,226,511,15,57,26,279,623,143,78,58,255,130,67,117,,239,332,34,1146,93,463,27,18,2741,271,85,2209,2987,1086,82
LG,LG9,2973,275,183,322,,262,394,206,170,,88,801,228,285,90,570,182,337,808,189,25,90,199,113,125,40,143,71,44,100,220,46,25,23,4,,467,2,89,43,152,298,154,65,106,353,146,69,69,7,128,238,58,624,102,58,49,46,2126,113,139,2194,3142,1236,38
LG,LG10,1334,139,103,88,5,105,189,122,72,19,20,334,90,81,35,373,120,216,137,36,8,18,99,40,62,18,73,35,19,213,158,38,12,27,1,44,144,5,15,29,124,248,94,18,26,125,34,22,15,3,51,77,6,275,27,92,20,22,1328,136,428,2759,3505,1595,24
LG,LG13,4106,361,192,333,17,297,406,375,212,53,12,1174,175,245,9,757,147,582,701,156,28,65,269,54,79,17,69,33,43,777,466,46,15,25,2,132,406,10,68,108,227,657,187,68,49,225,77,67,35,4,166,272,31,978,104,446,19,18,2382,169,331,4193,5118,2264,106
LG,LG14,6080,401,167,379,19,439,511,508,259,0,,1056,212,302,5,715,53,562,712,159,18,21,279,40,112,4,35,12,17,914,946,8,18,,5,133,562,18,81,95,330,538,109,81,70,270,144,67,4,4,114,291,4,877,59,288,4,9,4190,233,934,4383,5812,2675,102
LG,LG15,2431,278,117,273,23,239,302,194,182,115,11,648,134,173,48,299,88,175,429,83,13,47,122,59,144,20,92,46,20,258,262,31,20,18,0,154,215,1,33,89,108,366,119,22,33,82,53,35,37,5,114,101,12,363,34,69,35,28,2238,200,680,5380,7881,2774,37
