Cell,Sample,KCNK1,NMDA2B,ChAT,vAChT
LP,LP1,76,40,8,43
LP,LP10,67,9,52,71
LP,LP11,112,43,0,21
LP,LP12,93,42,53,84
LP,LP13,54,30,25,45
LP,LP14,99,53,0,48
LP,LP15,21,12,0,9
LP,LP3,22,18,51,25
LP,LP4,12,19,80,85
LP,LP5,58,39,68,71
LP,LP6,108,57,92,43
LP,LP9,129,,1,10
PD,PD13,209,16,1636,1351
PD,PD14,116,18,890,763
PD,PD15,127.5,,,
PD,PD2,244,21,559,562
PD,PD3,313,15,1502.5,1511
PD,PD4,73,24,1123,970
PD,PD5,449,18,1332,1263.25
PD,PD6,138,22,1630,1293
PD,PD7,64,33,713,651
PD,PD8,319,19,1327,1143
PD,PD9,208,28,1346,1182
VD,VD1,182,30,249,196
VD,VD10,,131,1489,1231
VD,VD11,347,72,904,747
VD,VD13,597,136,1294,858
VD,VD2,393,102,978,940
VD,VD3,246,57,524,450
VD,VD5,,96.5,993.5,990
VD,VD6,,173,2147,1577
VD,VD7,484,63,1349,1095
GM,GM16,59,93,350,184
GM,GM17,87,161,827,660
GM,GM18,137,134,815,627
GM,GM20,33,38,304,116
GM,GM25,61,88,650,493
GM,GM26,81,95,797,512
GM,GM27,164,20,1415,1285
GM,GM28,155,167,1109,933
GM,GM29,142,161,1750,972
