Cell,Sample,ACHE,ChAT,vAChT,vGluT,CaV1,CaV2,CaV3,CACNAB,Shaker,Shal,Shab,Shaw1,Shaw2,BKKCa,SKKCa,IRK,KCNH1,KCNH2,KCNH3,KCNK1,KCNK2,KCNQ1,KCNQ2,KCNT1,NaV,NALCN,IH,TRP_A1,TRP_A_like,TRP_M1,TRP_M3,TRP_M_like,mACHrA,mACHrB,mGluR1,mGluR2,mGluR5,NMDA_1A,NMDA_1B,NMDA_2A,NMDA_2B,NMDA_2_like,kainate_1A,kainate_1B,kainate_2B,GluCl,GABAB_R1,mGABA2,mGABA3,LCCH3r,RDLr,DAR1A,DAR2,Dopa_1Br,His_1r,His_3r,HisCL,HTR_1Br,HTR1A,HTR7,CCAPr,INX1,INX2,INX3,INX4
PD,PD13,366,1636,1351,33,90,120,22,143,309,373,131,94,128,724,131,78,141,12,148,209,68,5,39,52,2853,246,609,39,138,52,44,32,57,81,13,11,36,141,7,311,16,9,6,4,24,1121,1173,44,21,187,118,17,50,82,91,1,181,1,62,331,20,1283,1900,1638,411
PD,PD14,345,890,763,19,82,87,23,72,138,168,59,31,30,373,52,42,73,12,58,116,27,2,14,22,1321,103,342,31,58,29,24,15,32,139,13,26,17,98,10,167,18,12,4,2,26,346,670,16,19,83,73,13,46,40,20,4,46,0,35,157,24,1115,1799,1738,152
PD,PD15,968,1329.5,1162.5,10,84,126,64,80,275.5,457,85,33.5,95.5,582,89.5,62,195,17,153.5,127.5,45,2,105,40,3123,167.5,418.5,77.5,55,41,35.5,24.5,55.5,294.5,20.5,19,32,153,4,308.5,,7,21,7.5,34.5,495,1121.5,53,32,141.5,101,21.5,89,97.5,88.5,5,243,0,53.5,273.5,2,939.5,991.5,859.5,320
PD,PD2,1954,559,562,40,184,58,12,90,152,95,79,37,156,246,74,85,111,24,57,244,69,10,62,13,1097,113,163,43,123,82,76,51,69,187,25,122,135,87,21,268,21,46,7,0,157,615,1341,87,33,158,30,50,166,70,35,13,87,1,49,654,40,3151,4079,3222,295
PD,PD3,2771,1502.5,1511,19,177,143,36,145,375,368,161,116,56,483,137,128,263,37,182,313,81,9,43,75,3795,189,667,39,78,55,44,40,76,137,17,17,117,162,7,328,15,22,24,6,67,1115,1986,64,22,171,141,37,125,113,44,9,95,5,79,456,18,2660,3790,3040,484
PD,PD4,2333,1123,970,66,231,74,16,40,169,139,131,70,261,324,68,182,123,28,70,73,36,7,31,25,1234,82,192,77,111,71,61,49,59,320,50,62,106,75,34,263,24,41,11,1,78,509,762,21,31,163,44,47,182,52,33,15,73,2,54,271,14,2355,3073,2134,252
PD,PD5,2157,1332,1263.25,15,282,230,54,170,511,597,213,113,36,720,184,21,286,18,192,449,94,12,31,70,4713,257,968,63,128,94,91,60,92,87,14,15,79,243,6,,18,22,35,2,48,1896,2701,93,34,155,155,23,168,165,72,7,173,2,74,567,7,1391,1936,1356,338
PD,PD6,413,1630,1293,65,181,138,47,54,240,345,85,104,117,988,87,32,162,42,128,138,42,1,24,39,2510,123,403,61,77,50,62,26,43,77,36,33,70,129,19,271,22,37,17,0,12,713,1305,24,15,149,122,21,79,63,73,14,198,1,48,150,37,463,635,419,183
PD,PD7,1901,713,651,81,123,51,23,74,114,127,79,43,46,334,59,140,60,32,51,64,30,5,39,18,1097,108,180,52,101,40,41,32,31,79,34,46,80,43,21,133,33,21,4,1,69,258,684,12,24,100,51,29,153,41,28,14,86,1,54,293,33,4173,5875,4137,263
PD,PD8,320,1327,1143,45,93,83,17,57,246,201,86,81,181,419,100,81,126,15,97,319,73,11,56,31,2672,120,321,44,14,64,52,47,43,129,40,41,56,132,13,244,19,21,15,2,19,828,1538,27,21,178,133,27,118,57,80,10,223,0,47,322,6,438,545,389,143
