"","Purity","Rand","HA","MA","FM","Jaccard","Clustering"
"Cell.Type",1,1,1,1,1,1,"Cell.Type"
"K.11",0.5,0.866285714285714,0.226293071073599,0.280369258361528,0.300883352967588,0.176056338028169,"K.11"
"H.euclidean.ward.D",0.753968253968254,0.917968253968254,0.535792414598488,0.567416115161611,0.584800574953587,0.408966148215919,"H.euclidean.ward.D"
"H.euclidean.single",0.888888888888889,0.293333333333333,0.0148163837708754,0.0195281275875431,0.27677032441994,0.0911317981381676,"H.euclidean.single"
"H.euclidean.complete",0.849206349206349,0.701333333333333,0.198219998181905,0.21813487854445,0.386528673002299,0.182481751824818,"H.euclidean.complete"
"H.euclidean.average",0.825396825396825,0.501206349206349,0.0648532282410515,0.0764016004377282,0.295773731593598,0.113318284424379,"H.euclidean.average"
"H.euclidean.mcquitty",0.849206349206349,0.577777777777778,0.107208462167801,0.121564057527797,0.326912448162696,0.134340015620932,"H.euclidean.mcquitty"
"H.euclidean.median",0.865079365079365,0.355174603174603,0.026694434101645,0.0331258760454618,0.280797869162564,0.0962804769531945,"H.euclidean.median"
"H.euclidean.centroid",0.412698412698413,0.899174603174603,0.234483062581951,0.306641303099468,0.292993618583646,0.166841552990556,"H.euclidean.centroid"
"H.euclidean.ward.D2",0.76984126984127,0.886476190476191,0.439029357642898,0.471587299459865,0.514034024267806,0.332337565347274,"H.euclidean.ward.D2"
"H.maximum.ward.D",0.80952380952381,0.886730158730159,0.467930474127764,0.496958889667216,0.548698416803733,0.357348703170029,"H.maximum.ward.D"
"H.maximum.single",0.888888888888889,0.308698412698413,0.0205875035724346,0.0256232096749187,0.282320792804037,0.0938748335552596,"H.maximum.single"
"H.maximum.complete",0.817460317460317,0.743619047619048,0.232194941320201,0.254876182171337,0.40206611873342,0.201028888009497,"H.maximum.complete"
"H.maximum.average",0.873015873015873,0.490920634920635,0.0770467178869615,0.08755214539967,0.316506343032312,0.120254553434277,"H.maximum.average"
"H.maximum.mcquitty",0.80952380952381,0.563174603174603,0.0898878374948875,0.104083782001437,0.308907833709711,0.125127161749746,"H.maximum.mcquitty"
"H.maximum.median",0.396825396825397,0.918095238095238,0.278485263307868,0.3578290147837,0.349037713309918,0.185606060606061,"H.maximum.median"
"H.maximum.centroid",0.476190476190476,0.917333333333333,0.344622243028575,0.409273050881751,0.401147556950692,0.23859649122807,"H.maximum.centroid"
"H.maximum.ward.D2",0.738095238095238,0.812698412698413,0.287941467095134,0.317534267111815,0.414895140649612,0.23096976016684,"H.maximum.ward.D2"
"H.manhattan.ward.D",0.777777777777778,0.908444444444444,0.513455129900829,0.544256279786434,0.57199273629948,0.391561181434599,"H.manhattan.ward.D"
"H.manhattan.single",0.888888888888889,0.279746031746032,0.0116662633705068,0.0160492223472645,0.274783262529277,0.089712726689135,"H.manhattan.single"
"H.manhattan.complete",0.80952380952381,0.845460317460317,0.371272746476401,0.399859254448649,0.483036503166295,0.28705330990041,"H.manhattan.complete"
"H.manhattan.average",0.817460317460317,0.543365079365079,0.0823882111746538,0.0956466794939203,0.30589270870997,0.121641426477772,"H.manhattan.average"
"H.manhattan.mcquitty",0.865079365079365,0.705777777777778,0.209034876354093,0.228726835297446,0.397937597360218,0.189009450472524,"H.manhattan.mcquitty"
"H.manhattan.median",0.317460317460317,0.921904761904762,0.22439450924561,0.32055586189965,0.328067358329968,0.141061452513966,"H.manhattan.median"
"H.manhattan.centroid",1,0.085968253968254,0,0,0.293203434441437,0.085968253968254,"H.manhattan.centroid"
"H.manhattan.ward.D2",0.833333333333333,0.866031746031746,0.421296255986599,0.449722403393792,0.5196436273126,0.322849807445443,"H.manhattan.ward.D2"
"H.canberra.ward.D",0.777777777777778,0.938285714285714,0.628671012364729,0.655806505604533,0.663684653853969,0.495327102803738,"H.canberra.ward.D"
"H.canberra.single",0.849206349206349,0.727873015873016,0.234685166384679,0.255181006971934,0.416695681588114,0.203937592867756,"H.canberra.single"
"H.canberra.complete",0.746031746031746,0.919111111111111,0.538137328134514,0.569928380168402,0.585990681200459,0.410730804810361,"H.canberra.complete"
"H.canberra.average",0.761904761904762,0.865142857142857,0.393488862807119,0.424837552022924,0.486631839052228,0.300395256916996,"H.canberra.average"
"H.canberra.mcquitty",0.76984126984127,0.908571428571429,0.509470167221361,0.540874608101113,0.567111981123521,0.387755102040816,"H.canberra.mcquitty"
"H.canberra.median",0.277777777777778,0.921396825396825,0.174523129778503,0.282607305470737,0.299079874477219,0.105491329479769,"H.canberra.median"
"H.canberra.centroid",0.277777777777778,0.918095238095238,0.172737398613253,0.277015083525776,0.269208907609931,0.107883817427386,"H.canberra.centroid"
"H.canberra.ward.D2",0.73015873015873,0.93168253968254,0.589977994735692,0.619855335375895,0.628646042211988,0.457114026236125,"H.canberra.ward.D2"
