"","Purity","Rand","HA","MA","FM","Jaccard","Clustering"
"Cell.Type",1,1,1,1,1,1,"Cell.Type"
"K.11",0.579365079365079,0.872126984126984,0.306506033958281,0.351469641143818,0.380636446072997,0.231297709923664,"K.11"
"H.euclidean.ward.D",0.785714285714286,0.854857142857143,0.37472930030881,0.405336516360312,0.476255759852079,0.28785046728972,"H.euclidean.ward.D"
"H.euclidean.single",0.928571428571429,0.26184126984127,0.0183983455139615,0.0220903062958619,0.289263381309078,0.093418590143481,"H.euclidean.single"
"H.euclidean.complete",0.753968253968254,0.692444444444444,0.162537513638828,0.183828544967754,0.345538724165589,0.16106685140284,"H.euclidean.complete"
"H.euclidean.average",0.825396825396825,0.470222222222222,0.0548363770433739,0.0651667332469032,0.291199604795419,0.108737449262978,"H.euclidean.average"
"H.euclidean.mcquitty",0.865079365079365,0.47784126984127,0.0701736623402071,0.0802877208745505,0.310878917832922,0.116838487972509,"H.euclidean.mcquitty"
"H.euclidean.median",1,0.085968253968254,0,0,0.293203434441437,0.085968253968254,"H.euclidean.median"
"H.euclidean.centroid",0.333333333333333,0.925587301587302,0.263275881171377,0.354335670586642,0.376030877938082,0.166429587482219,"H.euclidean.centroid"
"H.euclidean.ward.D2",0.817460317460317,0.875428571428571,0.43628255255507,0.465645136919214,0.525556284688693,0.333106730115568,"H.euclidean.ward.D2"
"H.maximum.ward.D",0.80952380952381,0.879492063492064,0.435325070739497,0.466038799070319,0.518862416158591,0.331219168428471,"H.maximum.ward.D"
"H.maximum.single",0.928571428571429,0.264126984126984,0.0214378827203521,0.0251184113167934,0.293609575686009,0.0949554896142433,"H.maximum.single"
"H.maximum.complete",0.76984126984127,0.712,0.182550944507107,0.204765492320185,0.359673944577876,0.171960569550931,"H.maximum.complete"
"H.maximum.average",0.849206349206349,0.426031746031746,0.0484699948198488,0.056983890506792,0.294814968547813,0.106366152629498,"H.maximum.average"
"H.maximum.mcquitty",0.880952380952381,0.431873015873016,0.054527779525037,0.0630823778946757,0.302067014447224,0.109474522292994,"H.maximum.mcquitty"
"H.maximum.median",0.277777777777778,0.922666666666667,0.205407775111948,0.307260163377535,0.325444143066946,0.126255380200861,"H.maximum.median"
"H.maximum.centroid",0.46031746031746,0.92647619047619,0.362936628637655,0.431823413251275,0.434098668919244,0.24609375,"H.maximum.centroid"
"H.maximum.ward.D2",0.785714285714286,0.888634920634921,0.450553056818846,0.482382127795878,0.524874619633409,0.341591591591592,"H.maximum.ward.D2"
"H.manhattan.ward.D",0.849206349206349,0.924952380952381,0.599840026289133,0.625272996266116,0.650433418360981,0.470904207699194,"H.manhattan.ward.D"
"H.manhattan.single",0.904761904761905,0.284190476190476,0.0179066422520378,0.0222588410325701,0.283608185707681,0.092854843900869,"H.manhattan.single"
"H.manhattan.complete",0.793650793650794,0.806095238095238,0.29925429194272,0.326435311022258,0.434944719428287,0.239920358387257,"H.manhattan.complete"
"H.manhattan.average",0.825396825396825,0.436063492063492,0.0446159629554546,0.0537098995848502,0.286362259219178,0.104095218882389,"H.manhattan.average"
