"","Purity","Rand","HA","MA","FM","Jaccard","Clustering"
"Cell.Type",1,1,1,1,1,1,"Cell.Type"
"K.4",0.894736842105263,0.345661450924609,0.00559655596555962,0.0176347749954153,0.438715114192962,0.225589225589226,"K.4"
"H.euclidean.ward.D",0.894736842105263,0.359886201991465,0.0272140221402214,0.0389905407563845,0.455085081140461,0.235993208828523,"H.euclidean.ward.D"
"H.euclidean.single",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.euclidean.single"
"H.euclidean.complete",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.euclidean.complete"
"H.euclidean.average",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.euclidean.average"
"H.euclidean.mcquitty",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.euclidean.mcquitty"
"H.euclidean.median",0.736842105263158,0.489331436699858,0.0275726015574128,0.0601208218204498,0.379740418136706,0.210989010989011,"H.euclidean.median"
"H.euclidean.centroid",0.815789473684211,0.432432432432432,0.0350880814043489,0.0565522390992514,0.422903755608861,0.228239845261122,"H.euclidean.centroid"
"H.euclidean.ward.D2",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.euclidean.ward.D2"
"H.maximum.ward.D",0.894736842105263,0.359886201991465,0.0272140221402214,0.0389905407563845,0.455085081140461,0.235993208828523,"H.maximum.ward.D"
"H.maximum.single",0.894736842105263,0.34850640113798,0.00992004920049197,0.0219059281476091,0.441989107582462,0.227655986509275,"H.maximum.single"
"H.maximum.complete",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.maximum.complete"
"H.maximum.average",0.894736842105263,0.359886201991465,0.0272140221402214,0.0389905407563845,0.455085081140461,0.235993208828523,"H.maximum.average"
"H.maximum.mcquitty",0.894736842105263,0.359886201991465,0.0272140221402214,0.0389905407563845,0.455085081140461,0.235993208828523,"H.maximum.mcquitty"
"H.maximum.median",0.5,0.728307254623044,0.212442739584616,0.279124716411045,0.38673475707609,0.239043824701195,"H.maximum.median"
"H.maximum.centroid",0.763157894736842,0.554765291607397,0.124644449837093,0.156875620257132,0.439963247403708,0.256532066508314,"H.maximum.centroid"
"H.maximum.ward.D2",0.894736842105263,0.359886201991465,0.0272140221402214,0.0389905407563845,0.455085081140461,0.235993208828523,"H.maximum.ward.D2"
"H.manhattan.ward.D",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.manhattan.ward.D"
"H.manhattan.single",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.manhattan.single"
"H.manhattan.complete",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.manhattan.complete"
"H.manhattan.average",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.manhattan.average"
"H.manhattan.mcquitty",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.manhattan.mcquitty"
"H.manhattan.median",0.447368421052632,0.802275960170697,0.298660006172441,0.379471959438571,0.43725392334675,0.240437158469945,"H.manhattan.median"
"H.manhattan.centroid",0.447368421052632,0.671408250355619,0.0557283822836777,0.134526169397943,0.26705586003023,0.153846153846154,"H.manhattan.centroid"
"H.manhattan.ward.D2",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.manhattan.ward.D2"
"H.canberra.ward.D",0.894736842105263,0.614509246088193,0.255293699159184,0.281336085624665,0.541083250837937,0.332512315270936,"H.canberra.ward.D"
"H.canberra.single",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.canberra.single"
"H.canberra.complete",0.894736842105263,0.34850640113798,0.00992004920049197,0.0219059281476091,0.441989107582462,0.227655986509275,"H.canberra.complete"
"H.canberra.average",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.canberra.average"
"H.canberra.mcquitty",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.canberra.mcquitty"
"H.canberra.median",0.342105263157895,0.790896159317212,0.207659574468085,0.307589932281677,0.357275409183397,0.16,"H.canberra.median"
"H.canberra.centroid",0.605263157894737,0.698435277382646,0.197454012837634,0.255995722548972,0.398370823959991,0.24822695035461,"H.canberra.centroid"
"H.canberra.ward.D2",0.894736842105263,0.359886201991465,0.0272140221402214,0.0389905407563845,0.455085081140461,0.235993208828523,"H.canberra.ward.D2"
"H.binary.ward.D",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.binary.ward.D"
"H.binary.single",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.binary.single"
"H.binary.complete",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.binary.complete"
"H.binary.average",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.binary.average"
"H.binary.mcquitty",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.binary.mcquitty"
"H.binary.median",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.binary.median"
"H.binary.centroid",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.binary.centroid"
"H.binary.ward.D2",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.binary.ward.D2"
"H.minkowski.ward.D",0.894736842105263,0.359886201991465,0.0272140221402214,0.0389905407563845,0.455085081140461,0.235993208828523,"H.minkowski.ward.D"
"H.minkowski.single",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.minkowski.single"
"H.minkowski.complete",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.minkowski.complete"
"H.minkowski.average",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.minkowski.average"
"H.minkowski.mcquitty",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.minkowski.mcquitty"
"H.minkowski.median",0.736842105263158,0.489331436699858,0.0275726015574128,0.0601208218204498,0.379740418136706,0.210989010989011,"H.minkowski.median"
"H.minkowski.centroid",0.815789473684211,0.432432432432432,0.0350880814043489,0.0565522390992514,0.422903755608861,0.228239845261122,"H.minkowski.centroid"
"H.minkowski.ward.D2",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.minkowski.ward.D2"
"H.correlation.ward.D",0.842105263157895,0.796586059743954,0.484411141712697,0.518733976600009,0.625159147213321,0.45,"H.correlation.ward.D"
"H.correlation.single",0.921052631578947,0.644381223328592,0.307983682983683,0.332712256652545,0.577007065833246,0.363867684478371,"H.correlation.single"
"H.correlation.complete",0.815789473684211,0.802275960170697,0.498833207678776,0.53219596326854,0.635845628362267,0.461240310077519,"H.correlation.complete"
"H.correlation.average",0.815789473684211,0.802275960170697,0.498833207678776,0.53219596326854,0.635845628362267,0.461240310077519,"H.correlation.average"
