"","Purity","Rand","HA","MA","FM","Jaccard","Clustering"
"Cell.Type",1,1,1,1,1,1,"Cell.Type"
"K.4",0.631578947368421,0.624466571834993,0.107576311284645,0.159761957240467,0.366193070756447,0.218934911242604,"K.4"
"H.euclidean.ward.D",0.868421052631579,0.749644381223329,0.425546930134086,0.456701868399675,0.609137178460787,0.421052631578947,"H.euclidean.ward.D"
"H.euclidean.single",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.euclidean.single"
"H.euclidean.complete",0.815789473684211,0.644381223328592,0.258132054604858,0.290225161812934,0.517433683804222,0.324324324324324,"H.euclidean.complete"
"H.euclidean.average",0.894736842105263,0.359886201991465,0.0272140221402214,0.0389905407563845,0.455085081140461,0.235993208828523,"H.euclidean.average"
"H.euclidean.mcquitty",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.euclidean.mcquitty"
"H.euclidean.median",0.342105263157895,0.780938833570412,0.181569398246144,0.282852388385083,0.32335909071658,0.149171270718232,"H.euclidean.median"
"H.euclidean.centroid",0.368421052631579,0.788051209103841,0.201422613919659,0.301378047354954,0.347993942117368,0.15819209039548,"H.euclidean.centroid"
"H.euclidean.ward.D2",0.868421052631579,0.749644381223329,0.425546930134086,0.456701868399675,0.609137178460787,0.421052631578947,"H.euclidean.ward.D2"
"H.maximum.ward.D",0.868421052631579,0.84352773826458,0.612966837168797,0.637527041705841,0.726022336939395,0.56,"H.maximum.ward.D"
"H.maximum.single",0.894736842105263,0.34850640113798,0.00992004920049197,0.0219059281476091,0.441989107582462,0.227655986509275,"H.maximum.single"
"H.maximum.complete",0.763157894736842,0.658605974395448,0.240212192991147,0.278679243712171,0.483588634150541,0.304347826086957,"H.maximum.complete"
"H.maximum.average",0.868421052631579,0.567567567567568,0.189299506096034,0.215133202217057,0.503139105490977,0.297921478060046,"H.maximum.average"
"H.maximum.mcquitty",0.842105263157895,0.631578947368421,0.249064821192162,0.279629872181088,0.518502934104644,0.321989528795811,"H.maximum.mcquitty"
"H.maximum.median",0.5,0.79800853485064,0.300291586059943,0.378258074688595,0.436008337332845,0.248677248677249,"H.maximum.median"
"H.maximum.centroid",0.605263157894737,0.840682788051209,0.448117307314885,0.509612002571286,0.575159934353966,0.35632183908046,"H.maximum.centroid"
"H.maximum.ward.D2",0.789473684210526,0.739687055476529,0.415781514665746,0.44593359221021,0.60871660653307,0.417197452229299,"H.maximum.ward.D2"
"H.manhattan.ward.D",0.868421052631579,0.738264580369844,0.425178865040217,0.453394886480526,0.622264603290011,0.426791277258567,"H.manhattan.ward.D"
"H.manhattan.single",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.manhattan.single"
"H.manhattan.complete",0.868421052631579,0.657183499288762,0.301253366437495,0.32969420538858,0.556442173185472,0.353887399463807,"H.manhattan.complete"
"H.manhattan.average",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.manhattan.average"
"H.manhattan.mcquitty",0.868421052631579,0.374110953058321,0.0127917070928867,0.027960516250635,0.431536953053178,0.225352112676056,"H.manhattan.mcquitty"
"H.manhattan.median",0.210526315789474,0.768136557610242,0.084978958883982,0.206721760114321,0.21039014371407,0.0738636363636364,"H.manhattan.median"
"H.manhattan.centroid",0.315789473684211,0.788051209103841,0.182934344261656,0.288364093404776,0.334561799010542,0.138728323699422,"H.manhattan.centroid"
