"","Purity","Rand","HA","MA","FM","Jaccard","Clustering"
"Cell.Type",1,1,1,1,1,1,"Cell.Type"
"K.4",0.815789473684211,0.412517780938834,0.00377437474051166,0.0256951478516583,0.400547038516334,0.213333333333333,"K.4"
"H.euclidean.ward.D",0.894736842105263,0.376955903271693,0.0531549815498155,0.0646174596695476,0.474729041477459,0.248713550600343,"H.euclidean.ward.D"
"H.euclidean.single",0.894736842105263,0.34850640113798,0.00992004920049197,0.0219059281476091,0.441989107582462,0.227655986509275,"H.euclidean.single"
"H.euclidean.complete",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.euclidean.complete"
"H.euclidean.average",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.euclidean.average"
"H.euclidean.mcquitty",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.euclidean.mcquitty"
"H.euclidean.median",0.684210526315789,0.60597439544808,0.11270134189962,0.158847923553806,0.387065232983844,0.230555555555556,"H.euclidean.median"
"H.euclidean.centroid",0.631578947368421,0.564722617354196,0.0344966876716756,0.0830033619723571,0.335031621712626,0.192612137203166,"H.euclidean.centroid"
"H.euclidean.ward.D2",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.euclidean.ward.D2"
"H.maximum.ward.D",0.894736842105263,0.376955903271693,0.0531549815498155,0.0646174596695476,0.474729041477459,0.248713550600343,"H.maximum.ward.D"
"H.maximum.single",0.894736842105263,0.34850640113798,0.00992004920049197,0.0219059281476091,0.441989107582462,0.227655986509275,"H.maximum.single"
"H.maximum.complete",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.maximum.complete"
"H.maximum.average",0.894736842105263,0.359886201991465,0.0272140221402214,0.0389905407563845,0.455085081140461,0.235993208828523,"H.maximum.average"
"H.maximum.mcquitty",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.maximum.mcquitty"
"H.maximum.median",0.710526315789474,0.62873399715505,0.149577066580149,0.195524286848644,0.408496910753794,0.247838616714697,"H.maximum.median"
"H.maximum.centroid",0.736842105263158,0.490753911806543,0.0261047906508783,0.0591361449028473,0.377257497711961,0.209713024282561,"H.maximum.centroid"
"H.maximum.ward.D2",0.894736842105263,0.376955903271693,0.0531549815498155,0.0646174596695476,0.474729041477459,0.248713550600343,"H.maximum.ward.D2"
"H.manhattan.ward.D",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.manhattan.ward.D"
"H.manhattan.single",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.manhattan.single"
"H.manhattan.complete",0.894736842105263,0.359886201991465,0.0272140221402214,0.0389905407563845,0.455085081140461,0.235993208828523,"H.manhattan.complete"
"H.manhattan.average",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.manhattan.average"
"H.manhattan.mcquitty",0.894736842105263,0.359886201991465,0.0272140221402214,0.0389905407563845,0.455085081140461,0.235993208828523,"H.manhattan.mcquitty"
"H.manhattan.median",0.657894736842105,0.677098150782361,0.202784591328501,0.253187398044273,0.424295620719462,0.26537216828479,"H.manhattan.median"
"H.manhattan.centroid",0.736842105263158,0.733997155049787,0.325768416085835,0.370652123246166,0.507607854574919,0.336879432624113,"H.manhattan.centroid"
"H.manhattan.ward.D2",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.manhattan.ward.D2"
"H.canberra.ward.D",0.815789473684211,0.758179231863442,0.404070927078347,0.441608662026295,0.573079291361164,0.395017793594306,"H.canberra.ward.D"
"H.canberra.single",0.868421052631579,0.384068278805121,0.0296462532555093,0.0444539536021029,0.444603243475166,0.233628318584071,"H.canberra.single"
"H.canberra.complete",0.763157894736842,0.624466571834993,0.214126016260163,0.248397094660137,0.484435590973651,0.297872340425532,"H.canberra.complete"
"H.canberra.average",0.868421052631579,0.576102418207681,0.203057001126023,0.228682253912944,0.512234871553325,0.305361305361305,"H.canberra.average"
"H.canberra.mcquitty",0.842105263157895,0.590327169274538,0.205119547720937,0.233279990560542,0.503019126873183,0.302663438256659,"H.canberra.mcquitty"
"H.canberra.median",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.canberra.median"
