"","Purity","Rand","HA","MA","FM","Jaccard","Clustering"
"Cell.Type",1,1,1,1,1,1,"Cell.Type"
"K.4",0.815789473684211,0.413940256045519,0.00745005311675396,0.0291708278666588,0.403695027603035,0.215238095238095,"K.4"
"H.euclidean.ward.D",0.868421052631579,0.479374110953058,0.118268736506631,0.137564376211643,0.485863042070909,0.270916334661355,"H.euclidean.ward.D"
"H.euclidean.single",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.euclidean.single"
"H.euclidean.complete",0.842105263157895,0.408250355618777,0.0322636152456336,0.0502943799050143,0.43388133406289,0.231053604436229,"H.euclidean.complete"
"H.euclidean.average",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.euclidean.average"
"H.euclidean.mcquitty",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.euclidean.mcquitty"
"H.euclidean.median",0.421052631578947,0.778093883357041,0.246971902551567,0.328428157458531,0.386679662730476,0.22,"H.euclidean.median"
"H.euclidean.centroid",0.5,0.724039829302987,0.173081587116803,0.247019105677945,0.347171811807654,0.208163265306122,"H.euclidean.centroid"
"H.euclidean.ward.D2",0.815789473684211,0.445234708392603,0.060450292998869,0.0810112205533906,0.442992773652888,0.24124513618677,"H.euclidean.ward.D2"
"H.maximum.ward.D",0.842105263157895,0.477951635846373,0.114734129612029,0.13421336382944,0.482802233925939,0.268924302788845,"H.maximum.ward.D"
"H.maximum.single",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.maximum.single"
"H.maximum.complete",0.815789473684211,0.445234708392603,0.060450292998869,0.0810112205533906,0.442992773652888,0.24124513618677,"H.maximum.complete"
"H.maximum.average",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.maximum.average"
"H.maximum.mcquitty",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.maximum.mcquitty"
"H.maximum.median",0.473684210526316,0.776671408250356,0.25542220693098,0.333909200954295,0.395671118862514,0.230392156862745,"H.maximum.median"
"H.maximum.centroid",0.578947368421053,0.816500711237553,0.39427720298964,0.457193477323325,0.518312284443157,0.328125,"H.maximum.centroid"
"H.maximum.ward.D2",0.868421052631579,0.479374110953058,0.118268736506631,0.137564376211643,0.485863042070909,0.270916334661355,"H.maximum.ward.D2"
"H.manhattan.ward.D",0.842105263157895,0.436699857752489,0.0787894029742089,0.0959533039480424,0.468591840787921,0.254237288135593,"H.manhattan.ward.D"
