"","Purity","Rand","HA","MA","FM","Jaccard","Clustering"
"Cell.Type",1,1,1,1,1,1,"Cell.Type"
"K.4",0.684210526315789,0.647226173541963,0.167602459799091,0.215554328873468,0.412339782686005,0.253012048192771,"K.4"
"H.euclidean.ward.D",0.736842105263158,0.660028449502134,0.257032054938689,0.293079009250383,0.501600460783805,0.317142857142857,"H.euclidean.ward.D"
"H.euclidean.single",0.921052631578947,0.324324324324324,0.0104254644488106,0.0192966502525036,0.455012691646709,0.231391585760518,"H.euclidean.single"
"H.euclidean.complete",0.868421052631579,0.459459459459459,0.116010033157069,0.132480443182465,0.496360246167946,0.273422562141491,"H.euclidean.complete"
"H.euclidean.average",0.842105263157895,0.408250355618777,0.0322636152456336,0.0502943799050143,0.43388133406289,0.231053604436229,"H.euclidean.average"
"H.euclidean.mcquitty",0.868421052631579,0.459459459459459,0.116010033157069,0.132480443182465,0.496360246167946,0.273422562141491,"H.euclidean.mcquitty"
"H.euclidean.median",0.315789473684211,0.782361308677098,0.189158016147635,0.289123132167265,0.331413167492723,0.154696132596685,"H.euclidean.median"
"H.euclidean.centroid",0.526315789473684,0.80796586059744,0.3433225161393,0.415149587778565,0.474997357845114,0.281914893617021,"H.euclidean.centroid"
"H.euclidean.ward.D2",0.815789473684211,0.705547652916074,0.35650893461217,0.387729518472089,0.573903229905795,0.380239520958084,"H.euclidean.ward.D2"
"H.maximum.ward.D",0.789473684210526,0.625889046941679,0.223204419889503,0.256404633422357,0.493594054686646,0.304232804232804,"H.maximum.ward.D"
"H.maximum.single",0.894736842105263,0.359886201991465,0.0272140221402214,0.0389905407563845,0.455085081140461,0.235993208828523,"H.maximum.single"
"H.maximum.complete",0.815789473684211,0.779516358463727,0.484318727135914,0.513472858645845,0.646438935938633,0.461805555555556,"H.maximum.complete"
"H.maximum.average",0.868421052631579,0.459459459459459,0.116010033157069,0.132480443182465,0.496360246167946,0.273422562141491,"H.maximum.average"
"H.maximum.mcquitty",0.868421052631579,0.459459459459459,0.116010033157069,0.132480443182465,0.496360246167946,0.273422562141491,"H.maximum.mcquitty"
"H.maximum.median",0.605263157894737,0.844950213371266,0.51235546052171,0.55942583946346,0.617036421092085,0.432291666666667,"H.maximum.median"
"H.maximum.centroid",0.578947368421053,0.792318634423898,0.388681088292752,0.44177425675461,0.521955531048888,0.351111111111111,"H.maximum.centroid"
"H.maximum.ward.D2",0.789473684210526,0.783783783783784,0.486180300436614,0.516226581441481,0.643312151328893,0.460992907801418,"H.maximum.ward.D2"
"H.manhattan.ward.D",0.710526315789474,0.7524893314367,0.356728160037022,0.401640359316803,0.524006852254517,0.353159851301115,"H.manhattan.ward.D"
"H.manhattan.single",0.921052631578947,0.324324324324324,0.0104254644488106,0.0192966502525036,0.455012691646709,0.231391585760518,"H.manhattan.single"
"H.manhattan.complete",0.921052631578947,0.621621621621622,0.274295826574252,0.299126334766329,0.557419546133947,0.344827586206897,"H.manhattan.complete"
"H.manhattan.average",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.manhattan.average"
"H.manhattan.mcquitty",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.manhattan.mcquitty"
"H.manhattan.median",0.473684210526316,0.813655761024182,0.339024897903523,0.41518580349966,0.477004280014636,0.268156424581006,"H.manhattan.median"
