"","Purity","Rand","HA","MA","FM","Jaccard","Clustering"
"Cell.Type",1,1,1,1,1,1,"Cell.Type"
"K.4",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"K.4"
"H.euclidean.ward.D",0.868421052631579,0.418207681365576,0.0834302946455042,0.0974172448574136,0.485021720154727,0.260397830018083,"H.euclidean.ward.D"
"H.euclidean.single",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.euclidean.single"
"H.euclidean.complete",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.euclidean.complete"
"H.euclidean.average",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.euclidean.average"
"H.euclidean.mcquitty",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.euclidean.mcquitty"
"H.euclidean.median",0.657894736842105,0.7524893314367,0.305217598745868,0.360925434178799,0.466336658990125,0.304,"H.euclidean.median"
"H.euclidean.centroid",0.473684210526316,0.778093883357041,0.269308672245616,0.344926659609859,0.40906724472818,0.242718446601942,"H.euclidean.centroid"
"H.euclidean.ward.D2",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.euclidean.ward.D2"
"H.maximum.ward.D",0.868421052631579,0.803698435277383,0.526751741497395,0.555263933153004,0.669127868863754,0.490774907749078,"H.maximum.ward.D"
"H.maximum.single",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.maximum.single"
"H.maximum.complete",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.maximum.complete"
"H.maximum.average",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.maximum.average"
"H.maximum.mcquitty",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.maximum.mcquitty"
"H.maximum.median",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.maximum.median"
"H.maximum.centroid",1,0.236130867709815,0,0,0.485932986850877,0.236130867709815,"H.maximum.centroid"
"H.maximum.ward.D2",0.868421052631579,0.815078236130868,0.55418642314972,0.581045734129641,0.689252015295746,0.51310861423221,"H.maximum.ward.D2"
"H.manhattan.ward.D",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.manhattan.ward.D"
"H.manhattan.single",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.manhattan.single"
"H.manhattan.complete",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.manhattan.complete"
"H.manhattan.average",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.manhattan.average"
"H.manhattan.mcquitty",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.manhattan.mcquitty"
"H.manhattan.median",0.526315789473684,0.762446657183499,0.249330221554397,0.322321017074898,0.397676508121912,0.240909090909091,"H.manhattan.median"
"H.manhattan.centroid",0.736842105263158,0.590327169274538,0.153323742932655,0.189074089962483,0.444347074644953,0.26530612244898,"H.manhattan.centroid"
"H.manhattan.ward.D2",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.manhattan.ward.D2"
"H.canberra.ward.D",0.868421052631579,0.692745376955903,0.359026095178597,0.386754539806375,0.59073678900982,0.388101983002833,"H.canberra.ward.D"
"H.canberra.single",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.canberra.single"
"H.canberra.complete",0.921052631578947,0.509246088193457,0.172017902315626,0.189840563589173,0.527060981648864,0.300202839756592,"H.canberra.complete"
"H.canberra.average",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.canberra.average"
"H.canberra.mcquitty",0.868421052631579,0.398293029871977,0.0520562705013405,0.066521991625149,0.461444275424983,0.244642857142857,"H.canberra.mcquitty"
"H.canberra.median",0.421052631578947,0.779516358463727,0.226172299432581,0.314016354252228,0.365824572937587,0.196891191709845,"H.canberra.median"
"H.canberra.centroid",0.631578947368421,0.847795163584637,0.492548892621751,0.546040028675857,0.606134479959596,0.402234636871508,"H.canberra.centroid"
"H.canberra.ward.D2",0.947368421052632,0.631578947368421,0.300443761406205,0.323652172655001,0.579973043112265,0.362068965517241,"H.canberra.ward.D2"
"H.binary.ward.D",0.763157894736842,0.607396870554765,0.205851294603024,0.237516548942781,0.48961261211979,0.297709923664122,"H.binary.ward.D"
"H.binary.single",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.binary.single"
"H.binary.complete",0.842105263157895,0.44950213371266,0.0712200817279626,0.0912124582869856,0.452275301820309,0.247081712062257,"H.binary.complete"
"H.binary.average",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.binary.average"
"H.binary.mcquitty",0.842105263157895,0.44950213371266,0.0712200817279626,0.0912124582869856,0.452275301820309,0.247081712062257,"H.binary.mcquitty"
"H.binary.median",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.binary.median"
"H.binary.centroid",0.894736842105263,0.341394025604552,-0.00203183829030045,0.0101974950404169,0.432552131612736,0.221848739495798,"H.binary.centroid"
"H.binary.ward.D2",0.842105263157895,0.603129445234708,0.224310375511657,0.252388269089452,0.514537041197287,0.312807881773399,"H.binary.ward.D2"
"H.minkowski.ward.D",0.868421052631579,0.418207681365576,0.0834302946455042,0.0974172448574136,0.485021720154727,0.260397830018083,"H.minkowski.ward.D"
"H.minkowski.single",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.minkowski.single"
"H.minkowski.complete",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.minkowski.complete"
"H.minkowski.average",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.minkowski.average"
"H.minkowski.mcquitty",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.minkowski.mcquitty"
"H.minkowski.median",0.657894736842105,0.7524893314367,0.305217598745868,0.360925434178799,0.466336658990125,0.304,"H.minkowski.median"
"H.minkowski.centroid",0.473684210526316,0.778093883357041,0.269308672245616,0.344926659609859,0.40906724472818,0.242718446601942,"H.minkowski.centroid"
"H.minkowski.ward.D2",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.minkowski.ward.D2"
"H.correlation.ward.D",0.710526315789474,0.792318634423898,0.43139992244197,0.475045069272218,0.568136858558953,0.396694214876033,"H.correlation.ward.D"
"H.correlation.single",0.868421052631579,0.439544807965861,0.0856869347065426,0.102517020967813,0.474585717974803,0.258003766478343,"H.correlation.single"
"H.correlation.complete",0.868421052631579,0.721194879089616,0.399569465143236,0.427693253419395,0.609859412887622,0.411411411411411,"H.correlation.complete"
"H.correlation.average",0.868421052631579,0.502133712660028,0.154664889304218,0.173367179373107,0.511956503695864,0.290060851926978,"H.correlation.average"
"H.correlation.mcquitty",0.868421052631579,0.661450924608819,0.3024805102764,0.331694681901977,0.553758322615971,0.353260869565217,"H.correlation.mcquitty"
"H.correlation.median",0.342105263157895,0.796586059743954,0.21127125226547,0.313825050177449,0.374731589303069,0.153846153846154,"H.correlation.median"
"H.correlation.centroid",0.526315789473684,0.800853485064011,0.344251372528117,0.412113668880643,0.474518003884689,0.292929292929293,"H.correlation.centroid"
"H.correlation.ward.D2",0.657894736842105,0.768136557610242,0.374196508052669,0.421024667184871,0.527911147555407,0.358267716535433,"H.correlation.ward.D2"
"H.uncentered.ward.D",0.815789473684211,0.746799431009957,0.406756679877875,0.440422178293696,0.589270185148721,0.404682274247492,"H.uncentered.ward.D"
"H.uncentered.single",0.842105263157895,0.422475106685633,0.0578398362712089,0.0751825139922136,0.453800942005104,0.243947858472998,"H.uncentered.single"
"H.uncentered.complete",0.842105263157895,0.571834992887625,0.191611367708465,0.217956745474828,0.502420726224502,0.298368298368298,"H.uncentered.complete"
"H.uncentered.average",0.868421052631579,0.559032716927454,0.198126398210291,0.221208515139495,0.520089854815412,0.306487695749441,"H.uncentered.average"
"H.uncentered.mcquitty",0.868421052631579,0.559032716927454,0.198126398210291,0.221208515139495,0.520089854815412,0.306487695749441,"H.uncentered.mcquitty"
"H.uncentered.median",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.uncentered.median"
"H.uncentered.centroid",0.657894736842105,0.839260312944524,0.508388566053382,0.553809133169265,0.613864506695009,0.435,"H.uncentered.centroid"
"H.uncentered.ward.D2",0.763157894736842,0.655761024182077,0.256247267640115,0.291358765746546,0.504685617003193,0.31830985915493,"H.uncentered.ward.D2"
"SNN.euclidean.3",0.973684210526316,0.260312944523471,-0.00488201790073233,-0.00200165470121971,0.469173462800303,0.230769230769231,"SNN.euclidean.3"
"SNN.euclidean.4",1,0.236130867709815,0,0,0.485932986850877,0.236130867709815,"SNN.euclidean.4"
"SNN.euclidean.5",1,0.236130867709815,0,0,0.485932986850877,0.236130867709815,"SNN.euclidean.5"
