"","Purity","Rand","HA","MA","FM","Jaccard","Clustering"
"Cell.Type",1,1,1,1,1,1,"Cell.Type"
"K.4",0.736842105263158,0.61877667140825,0.162760520819446,0.203857769439027,0.431497352646358,0.261707988980716,"K.4"
"H.euclidean.ward.D",0.921052631578947,0.840682788051209,0.610271843506841,0.634460125306259,0.726725471514616,0.559055118110236,"H.euclidean.ward.D"
"H.euclidean.single",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.euclidean.single"
"H.euclidean.complete",0.921052631578947,0.621621621621622,0.274295826574252,0.299126334766329,0.557419546133947,0.344827586206897,"H.euclidean.complete"
"H.euclidean.average",0.921052631578947,0.324324324324324,0.0104254644488106,0.0192966502525036,0.455012691646709,0.231391585760518,"H.euclidean.average"
"H.euclidean.mcquitty",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.euclidean.mcquitty"
"H.euclidean.median",0.421052631578947,0.785206258890469,0.225742689802557,0.316981794033254,0.366296404377388,0.188172043010753,"H.euclidean.median"
"H.euclidean.centroid",0.473684210526316,0.779516358463727,0.238214752619915,0.322783661119516,0.377659695241375,0.209183673469388,"H.euclidean.centroid"
"H.euclidean.ward.D2",0.921052631578947,0.772403982930299,0.50015553481758,0.52469120563524,0.67676953204534,0.482200647249191,"H.euclidean.ward.D2"
"H.maximum.ward.D",0.763157894736842,0.721194879089616,0.351329466706839,0.387590122644694,0.55085964048348,0.367741935483871,"H.maximum.ward.D"
"H.maximum.single",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.maximum.single"
"H.maximum.complete",0.815789473684211,0.445234708392603,0.060450292998869,0.0810112205533906,0.442992773652888,0.24124513618677,"H.maximum.complete"
"H.maximum.average",0.894736842105263,0.359886201991465,0.0272140221402214,0.0389905407563845,0.455085081140461,0.235993208828523,"H.maximum.average"
"H.maximum.mcquitty",0.842105263157895,0.405405405405405,0.0299927378358751,0.047848007016614,0.433016166035404,0.230202578268877,"H.maximum.mcquitty"
"H.maximum.median",1,0.236130867709815,0,0,0.485932986850877,0.236130867709815,"H.maximum.median"
"H.maximum.centroid",0.421052631578947,0.790896159317212,0.266111793655415,0.349421961774694,0.40433242272049,0.222222222222222,"H.maximum.centroid"
"H.maximum.ward.D2",0.868421052631579,0.810810810810811,0.551208390332877,0.577354072587389,0.691393854595611,0.512820512820513,"H.maximum.ward.D2"
"H.manhattan.ward.D",0.789473684210526,0.789473684210526,0.467396979779882,0.502722424400369,0.613021725040537,0.437262357414449,"H.manhattan.ward.D"
"H.manhattan.single",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.manhattan.single"
"H.manhattan.complete",0.921052631578947,0.621621621621622,0.274295826574252,0.299126334766329,0.557419546133947,0.344827586206897,"H.manhattan.complete"
"H.manhattan.average",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.manhattan.average"
"H.manhattan.mcquitty",0.921052631578947,0.621621621621622,0.274295826574252,0.299126334766329,0.557419546133947,0.344827586206897,"H.manhattan.mcquitty"
"H.manhattan.median",0.447368421052632,0.756756756756757,0.189026734937565,0.274512569192258,0.336741377755331,0.18957345971564,"H.manhattan.median"
"H.manhattan.centroid",0.526315789473684,0.773826458036984,0.288665304797724,0.357327600685231,0.43118207738965,0.267281105990783,"H.manhattan.centroid"
"H.manhattan.ward.D2",0.868421052631579,0.741109530583215,0.429545940933086,0.45776560011224,0.624406656451964,0.429467084639498,"H.manhattan.ward.D2"
"H.canberra.ward.D",0.815789473684211,0.852062588904694,0.596627899278353,0.627365934513116,0.694309870171636,0.531531531531532,"H.canberra.ward.D"
"H.canberra.single",0.894736842105263,0.597439544807966,0.235620017289406,0.260979014908746,0.532628304899019,0.322966507177034,"H.canberra.single"
"H.canberra.complete",0.868421052631579,0.77524893314367,0.45619669627033,0.489204316482336,0.616381769363299,0.435714285714286,"H.canberra.complete"
"H.canberra.average",0.921052631578947,0.834992887624467,0.593366044359343,0.618980028206178,0.712476956827393,0.543307086614173,"H.canberra.average"
"H.canberra.mcquitty",0.947368421052632,0.849217638691323,0.6351699354725,0.657314288272959,0.74774181857187,0.582677165354331,"H.canberra.mcquitty"
"H.canberra.median",1,0.236130867709815,0,0,0.485932986850877,0.236130867709815,"H.canberra.median"
"H.canberra.centroid",0.421052631578947,0.79800853485064,0.269914869964602,0.356271897328997,0.411920762840911,0.215469613259669,"H.canberra.centroid"
"H.canberra.ward.D2",0.868421052631579,0.874822190611664,0.655867562636287,0.682475586962388,0.738147546322376,0.584905660377358,"H.canberra.ward.D2"
"H.binary.ward.D",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.binary.ward.D"
"H.binary.single",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.binary.single"
"H.binary.complete",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.binary.complete"
"H.binary.average",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.binary.average"
"H.binary.mcquitty",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.binary.mcquitty"
"H.binary.median",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.binary.median"
"H.binary.centroid",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.binary.centroid"
"H.binary.ward.D2",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.binary.ward.D2"
"H.minkowski.ward.D",0.921052631578947,0.840682788051209,0.610271843506841,0.634460125306259,0.726725471514616,0.559055118110236,"H.minkowski.ward.D"
"H.minkowski.single",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.minkowski.single"
"H.minkowski.complete",0.921052631578947,0.621621621621622,0.274295826574252,0.299126334766329,0.557419546133947,0.344827586206897,"H.minkowski.complete"
"H.minkowski.average",0.921052631578947,0.324324324324324,0.0104254644488106,0.0192966502525036,0.455012691646709,0.231391585760518,"H.minkowski.average"
"H.minkowski.mcquitty",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.minkowski.mcquitty"
"H.minkowski.median",0.421052631578947,0.785206258890469,0.225742689802557,0.316981794033254,0.366296404377388,0.188172043010753,"H.minkowski.median"
"H.minkowski.centroid",0.473684210526316,0.779516358463727,0.238214752619915,0.322783661119516,0.377659695241375,0.209183673469388,"H.minkowski.centroid"
"H.minkowski.ward.D2",0.921052631578947,0.772403982930299,0.50015553481758,0.52469120563524,0.67676953204534,0.482200647249191,"H.minkowski.ward.D2"
"H.correlation.ward.D",0.842105263157895,0.86628733997155,0.627795113268973,0.657208085420181,0.715164649609126,0.556603773584906,"H.correlation.ward.D"
