"","K.11","H.euclidean.ward.D","H.euclidean.single","H.euclidean.complete","H.euclidean.average","H.euclidean.mcquitty","H.euclidean.median","H.euclidean.centroid","H.euclidean.ward.D2","H.maximum.ward.D","H.maximum.single","H.maximum.complete","H.maximum.average","H.maximum.mcquitty","H.maximum.median","H.maximum.centroid","H.maximum.ward.D2","H.manhattan.ward.D","H.manhattan.single","H.manhattan.complete","H.manhattan.average","H.manhattan.mcquitty","H.manhattan.median","H.manhattan.centroid","H.manhattan.ward.D2","H.canberra.ward.D","H.canberra.single","H.canberra.complete","H.canberra.average","H.canberra.mcquitty","H.canberra.median","H.canberra.centroid","H.canberra.ward.D2","H.binary.ward.D","H.binary.single","H.binary.complete","H.binary.average","H.binary.mcquitty","H.binary.median","H.binary.centroid","H.binary.ward.D2","H.minkowski.ward.D","H.minkowski.single","H.minkowski.complete","H.minkowski.average","H.minkowski.mcquitty","H.minkowski.median","H.minkowski.centroid","H.minkowski.ward.D2","H.correlation.ward.D","H.correlation.single","H.correlation.complete","H.correlation.average","H.correlation.mcquitty","H.correlation.median","H.correlation.centroid","H.correlation.ward.D2","H.uncentered.ward.D","H.uncentered.single","H.uncentered.complete","H.uncentered.average","H.uncentered.mcquitty","H.uncentered.median","H.uncentered.centroid","H.uncentered.ward.D2","SNN.euclidean.3","SNN.euclidean.4","SNN.euclidean.5","SNN.euclidean.6","SNN.euclidean.7","SNN.euclidean.8","SNN.euclidean.9","SNN.maximum.3","SNN.maximum.4","SNN.maximum.5","SNN.maximum.6","SNN.maximum.7","SNN.maximum.8","SNN.maximum.9","SNN.manhattan.3","SNN.manhattan.4","SNN.manhattan.5","SNN.manhattan.6","SNN.manhattan.7","SNN.manhattan.8","SNN.manhattan.9","SNN.canberra.3","SNN.canberra.4","SNN.canberra.5","SNN.canberra.6","SNN.canberra.7","SNN.canberra.8","SNN.canberra.9","SNN.binary.3","SNN.binary.4","SNN.binary.5","SNN.binary.6","SNN.binary.7","SNN.binary.8","SNN.binary.9","SNN.minkowski.3","SNN.minkowski.4","SNN.minkowski.5","SNN.minkowski.6","SNN.minkowski.7","SNN.minkowski.8","SNN.minkowski.9"
"LG1",10,10,9,5,6,8,6,33,9,10,8,10,10,10,36,34,10,10,7,11,11,5,14,0,11,11,10,2,7,8,35,33,8,7,8,6,8,9,11,11,10,10,9,5,6,8,6,33,9,6,11,11,6,11,31,25,10,10,11,11,9,11,29,9,9,21,5,13,9,6,4,3,1,14,16,1,4,4,2,5,10,11,10,2,1,3,17,4,7,5,4,2,2,1,1,5,4,3,2,2,21,5,13,9,6,4,3
"LG2",8,10,1,5,6,8,1,9,9,10,4,10,9,7,38,36,10,10,10,10,1,5,15,0,10,11,10,2,7,8,37,35,8,7,11,6,10,7,14,16,10,10,1,5,6,8,1,9,9,6,2,4,6,4,27,25,10,10,2,7,9,6,28,26,9,22,18,13,10,6,4,3,13,14,16,1,4,4,2,4,8,11,10,7,4,1,6,7,10,7,1,3,2,1,1,5,4,3,2,2,22,18,13,10,6,4,3
"LG4",8,10,1,5,4,11,1,9,10,10,3,10,9,7,33,31,10,10,1,10,1,4,11,0,10,11,3,2,7,8,68,5,8,7,6,6,6,7,10,10,10,10,1,5,4,11,1,9,10,6,10,4,6,7,27,10,10,10,10,7,11,6,7,14,9,22,18,13,9,6,4,3,23,17,15,12,4,4,2,6,20,11,10,2,1,1,17,4,7,5,4,3,2,1,1,5,4,3,2,2,22,18,13,9,6,4,3
"LG6",3,10,1,5,4,9,1,9,10,10,3,10,9,7,33,31,10,10,1,10,1,4,35,0,10,11,2,2,7,8,5,57,8,7,5,6,6,7,15,8,10,10,1,5,4,9,1,9,10,6,5,4,6,7,9,14,10,10,5,7,2,6,7,13,9,24,16,2,5,3,2,3,26,12,13,6,2,2,2,24,13,12,5,2,4,1,17,4,7,5,4,2,2,1,1,5,4,3,2,2,24,16,2,5,3,2,3
"LG8",2,10,1,5,4,9,1,9,10,10,3,10,9,7,34,32,10,10,1,9,1,4,50,0,9,11,2,2,7,8,62,64,8,7,3,3,6,7,15,7,10,10,1,5,4,9,1,9,10,6,7,4,6,6,11,13,10,10,7,1,2,6,7,13,9,19,16,15,5,3,2,3,19,16,13,6,2,2,2,4,8,8,11,7,4,1,6,7,10,7,1,3,2,1,1,5,4,3,2,2,19,16,15,5,3,2,3
"LG9",3,10,5,5,4,9,5,9,10,9,3,9,9,7,34,32,9,11,1,9,3,4,48,0,9,10,2,2,7,8,14,52,8,7,10,3,6,5,15,7,10,10,5,5,4,9,5,9,10,6,9,4,6,6,11,13,10,10,9,1,2,6,7,11,9,19,16,2,5,3,2,3,26,11,12,4,2,2,2,25,15,8,11,7,4,1,11,13,10,7,1,3,2,1,1,5,4,3,2,2,19,16,2,5,3,2,3
"LG10",3,10,3,5,4,9,11,9,10,9,3,9,11,7,35,33,9,11,3,9,3,4,1,0,9,10,2,2,7,8,52,56,8,7,9,3,11,5,15,7,3,10,3,5,4,9,11,9,10,6,9,4,6,6,10,12,10,10,1,1,2,6,21,11,9,13,14,10,5,3,2,3,11,7,10,6,2,2,2,24,13,12,5,2,4,1,-1,4,5,5,4,2,2,1,1,5,4,3,2,2,13,14,10,5,3,2,3
"LG13",2,10,4,5,4,9,2,9,10,9,3,9,8,4,35,33,9,11,2,9,3,4,1,0,9,10,2,2,11,7,27,16,6,7,7,3,7,5,15,7,3,10,4,5,4,9,2,9,10,6,1,4,6,6,10,12,10,10,1,1,2,6,21,25,9,15,17,4,10,3,2,3,19,16,2,13,2,4,2,4,8,8,11,7,4,1,6,7,10,7,1,3,2,1,1,5,4,3,2,2,15,17,4,10,3,2,3
"LG14",2,11,2,5,4,10,2,9,11,5,3,11,8,4,35,33,6,11,2,9,3,4,1,0,9,10,2,2,11,7,58,34,6,10,4,3,9,5,15,3,3,11,2,5,4,10,2,9,11,6,1,4,6,6,10,28,10,10,1,1,2,6,5,23,9,15,17,4,10,3,2,3,19,16,2,13,2,4,2,4,8,11,11,7,4,1,6,7,10,7,1,3,2,1,1,5,4,3,2,2,15,17,4,10,3,2,3
"LG15",8,1,2,5,4,1,2,9,1,5,3,7,4,4,14,13,6,2,2,1,3,4,19,0,4,10,2,2,11,7,22,11,6,10,2,3,5,5,15,3,3,1,2,5,4,1,2,9,1,6,1,4,6,6,14,11,10,10,1,1,2,6,5,16,9,22,18,13,9,6,4,3,23,17,15,12,4,4,2,6,7,11,10,2,1,1,17,4,7,5,4,2,2,3,9,6,5,2,2,2,22,18,13,9,6,4,3
"LP1",9,1,2,5,4,1,2,4,1,5,3,2,4,4,37,30,6,2,2,1,3,4,19,0,4,10,2,2,11,7,16,11,6,10,2,3,5,5,15,17,3,1,2,5,4,1,2,4,1,6,1,4,6,6,13,11,10,10,1,1,2,6,6,16,9,5,6,5,4,3,2,2,10,5,7,8,6,2,2,2,4,2,3,3,3,1,16,11,1,1,2,5,4,4,3,5,6,3,2,2,5,6,5,4,3,2,2
"LP10",4,1,2,5,4,1,4,4,1,5,3,2,4,4,1,2,6,2,2,1,3,4,19,0,4,10,2,2,11,7,12,11,6,10,1,3,3,5,2,15,3,1,2,5,4,1,4,4,1,6,1,1,6,6,13,11,8,9,1,1,2,6,6,16,8,16,7,7,5,2,2,3,-1,17,6,12,4,4,2,19,19,3,4,2,4,1,16,11,1,1,2,5,4,4,3,5,6,3,2,2,16,7,7,5,2,2,3
"LP11",7,1,2,5,4,1,3,4,1,5,3,2,4,4,1,2,6,2,2,1,3,4,19,0,4,10,2,11,10,7,12,11,6,10,1,3,3,5,2,12,3,1,2,5,4,1,3,4,1,10,1,1,10,6,29,11,8,9,1,1,2,6,22,16,8,17,9,12,8,7,3,4,14,18,9,9,5,5,3,19,19,2,4,3,3,1,16,11,1,1,2,5,4,2,2,1,1,1,1,1,17,9,12,8,7,3,4
"LP12",4,5,2,5,4,5,3,9,7,5,3,1,4,4,1,35,6,2,2,3,2,4,19,0,4,10,2,11,10,7,12,11,6,10,1,3,3,10,2,9,3,5,2,5,4,5,3,9,7,10,1,1,9,6,18,11,8,9,1,1,2,10,22,16,8,16,7,7,5,2,2,3,25,-1,2,13,2,4,2,19,19,3,4,2,4,1,16,11,1,1,2,5,4,1,1,5,4,3,2,2,16,7,7,5,2,2,3
