"","K.11","H.euclidean.ward.D","H.euclidean.single","H.euclidean.complete","H.euclidean.average","H.euclidean.mcquitty","H.euclidean.median","H.euclidean.centroid","H.euclidean.ward.D2","H.maximum.ward.D","H.maximum.single","H.maximum.complete","H.maximum.average","H.maximum.mcquitty","H.maximum.median","H.maximum.centroid","H.maximum.ward.D2","H.manhattan.ward.D","H.manhattan.single","H.manhattan.complete","H.manhattan.average","H.manhattan.mcquitty","H.manhattan.median","H.manhattan.centroid","H.manhattan.ward.D2","H.canberra.ward.D","H.canberra.single","H.canberra.complete","H.canberra.average","H.canberra.mcquitty","H.canberra.median","H.canberra.centroid","H.canberra.ward.D2","H.binary.ward.D","H.binary.single","H.binary.complete","H.binary.average","H.binary.mcquitty","H.binary.median","H.binary.centroid","H.binary.ward.D2","H.minkowski.ward.D","H.minkowski.single","H.minkowski.complete","H.minkowski.average","H.minkowski.mcquitty","H.minkowski.median","H.minkowski.centroid","H.minkowski.ward.D2","H.correlation.ward.D","H.correlation.single","H.correlation.complete","H.correlation.average","H.correlation.mcquitty","H.correlation.median","H.correlation.centroid","H.correlation.ward.D2","H.uncentered.ward.D","H.uncentered.single","H.uncentered.complete","H.uncentered.average","H.uncentered.mcquitty","H.uncentered.median","H.uncentered.centroid","H.uncentered.ward.D2","SNN.euclidean.3","SNN.euclidean.4","SNN.euclidean.5","SNN.euclidean.6","SNN.euclidean.7","SNN.euclidean.8","SNN.euclidean.9","SNN.maximum.3","SNN.maximum.4","SNN.maximum.5","SNN.maximum.6","SNN.maximum.7","SNN.maximum.8","SNN.maximum.9","SNN.manhattan.3","SNN.manhattan.4","SNN.manhattan.5","SNN.manhattan.6","SNN.manhattan.7","SNN.manhattan.8","SNN.manhattan.9","SNN.canberra.3","SNN.canberra.4","SNN.canberra.5","SNN.canberra.6","SNN.canberra.7","SNN.canberra.8","SNN.canberra.9","SNN.binary.3","SNN.binary.4","SNN.binary.5","SNN.binary.6","SNN.binary.7","SNN.binary.8","SNN.binary.9","SNN.minkowski.3","SNN.minkowski.4","SNN.minkowski.5","SNN.minkowski.6","SNN.minkowski.7","SNN.minkowski.8","SNN.minkowski.9"
"LG1",9,8,9,10,11,11,0,41,5,7,11,3,10,3,18,16,7,5,7,11,11,2,48,38,11,2,11,11,1,9,50,49,3,11,11,11,11,11,11,11,11,8,9,10,11,11,0,41,5,2,6,5,8,3,0,22,2,9,4,10,9,7,24,24,8,3,3,6,4,2,2,3,-1,9,3,4,2,2,1,9,14,4,4,4,5,1,5,7,5,3,3,2,3,1,1,1,1,1,1,1,3,3,6,4,2,2,3
"LG2",1,8,6,10,8,9,0,55,5,7,6,3,11,4,16,41,7,5,4,11,8,2,60,33,11,2,11,11,1,9,34,39,3,10,10,10,10,10,10,10,10,8,6,10,8,9,0,55,5,2,11,5,8,3,0,18,2,9,3,10,9,7,31,21,8,6,10,5,4,2,2,3,7,7,5,4,2,2,1,13,5,10,4,4,5,1,8,2,7,4,4,3,1,1,1,1,1,1,1,1,6,10,5,4,2,2,3
"LG4",9,8,4,10,8,9,0,48,5,7,10,3,6,10,47,42,7,5,11,10,8,2,16,10,11,2,11,11,1,9,1,38,3,9,9,9,9,9,9,9,9,8,4,10,8,9,0,48,5,2,4,5,8,3,0,15,2,9,10,10,9,7,19,26,8,3,3,6,4,2,2,3,11,9,5,4,2,2,1,9,14,4,4,4,5,1,5,7,5,4,3,2,3,1,1,1,1,1,1,1,3,3,6,4,2,2,3
"LG6",9,8,11,8,4,4,0,50,5,7,8,3,7,11,49,37,7,5,9,10,3,2,10,5,11,2,11,11,1,9,53,6,3,8,8,8,8,8,8,8,8,8,11,8,4,4,0,50,5,2,8,5,8,3,0,28,2,9,9,10,9,7,19,19,8,3,11,6,4,2,2,3,12,6,7,4,2,2,1,9,14,4,4,4,5,1,5,7,5,3,3,2,3,1,1,1,1,1,1,1,3,11,6,4,2,2,3
"LG8",1,2,3,8,5,3,0,53,5,7,5,3,7,2,53,14,7,5,3,10,6,6,12,5,11,2,11,11,8,11,51,48,3,7,7,7,7,7,7,7,7,2,3,8,5,3,0,53,5,2,3,5,10,3,0,21,2,11,1,11,1,7,19,20,8,6,10,5,4,2,2,3,7,7,5,4,2,2,1,13,5,10,4,4,5,1,8,2,7,4,4,3,1,1,1,1,1,1,1,1,6,10,5,4,2,2,3
"LG9",5,2,2,8,5,3,0,46,5,7,2,3,7,2,60,39,7,5,5,2,6,6,12,5,10,2,11,9,4,11,40,1,3,6,6,6,6,6,6,6,6,2,2,8,5,3,0,46,5,2,3,5,1,3,0,11,2,11,11,11,1,7,19,3,8,3,3,5,4,2,2,3,22,8,5,4,2,2,1,20,5,10,4,4,5,1,19,2,7,4,4,3,1,1,1,1,1,1,1,1,3,3,5,4,2,2,3
"LG10",9,2,2,11,5,3,0,17,4,7,2,3,7,2,61,32,7,5,5,2,6,6,15,5,10,2,11,9,4,11,54,51,2,5,5,5,5,5,5,5,5,2,2,11,5,3,0,17,4,2,3,5,1,3,0,11,2,11,6,11,1,5,17,27,6,-1,11,6,4,2,2,3,12,12,7,4,2,2,1,5,7,11,4,4,5,1,1,7,5,3,3,2,3,1,1,1,1,1,1,1,-1,11,6,4,2,2,3
"LG13",1,2,2,11,5,3,0,17,4,7,2,3,1,2,56,36,7,5,5,2,6,6,15,2,10,2,11,9,4,11,4,37,2,4,4,4,4,4,4,4,4,2,2,11,5,3,0,17,4,2,3,5,1,3,0,11,2,11,6,11,1,5,17,28,6,6,10,5,4,2,2,3,7,7,5,4,2,2,1,13,5,10,4,4,5,1,8,2,7,4,4,3,1,1,1,1,1,1,1,1,6,10,5,4,2,2,3
"LG14",1,2,2,11,2,3,0,10,4,7,2,3,1,5,58,31,7,5,2,2,4,3,20,2,10,2,11,9,4,11,3,34,2,3,3,3,3,3,3,3,3,2,2,11,2,3,0,10,4,2,3,5,1,3,0,11,2,11,6,11,1,5,15,7,6,6,10,5,4,2,2,3,7,7,3,4,2,2,1,13,5,10,4,4,5,1,8,2,7,4,4,3,1,1,1,1,1,1,1,1,6,10,5,4,2,2,3
"LG15",9,11,8,9,2,1,0,39,3,7,3,3,1,5,35,29,7,5,2,7,7,3,22,2,10,2,11,8,4,10,9,33,2,2,2,2,2,2,2,2,2,11,8,9,2,1,0,39,3,2,3,5,1,3,0,11,2,11,6,11,1,5,14,7,5,3,3,6,4,2,2,3,14,9,6,4,2,2,1,9,14,16,4,4,5,1,5,7,5,3,3,2,1,1,1,1,1,1,1,1,3,3,6,4,2,2,3
"LP1",8,11,1,9,2,1,0,16,3,7,7,3,1,5,35,29,7,5,2,7,7,3,25,5,10,2,11,8,4,10,47,35,2,1,1,1,1,1,1,1,1,11,1,9,2,1,0,16,3,2,3,5,1,3,0,11,2,11,6,11,1,5,14,7,5,4,12,7,5,3,4,1,1,2,9,6,2,2,1,4,9,12,6,5,2,4,14,9,9,3,3,2,3,1,1,1,1,1,1,1,4,12,7,5,3,4,1
"LP10",8,11,1,9,2,1,0,16,3,7,9,3,1,8,10,2,7,4,2,7,7,3,25,5,9,2,10,8,4,10,22,43,2,1,1,1,1,1,1,1,1,11,1,9,2,1,0,16,3,2,3,5,1,3,0,11,2,11,6,11,1,5,14,7,5,1,12,7,5,3,4,1,17,11,9,6,2,2,1,4,9,12,6,5,2,4,14,9,9,3,3,2,3,1,1,1,1,1,1,1,1,12,7,5,3,4,1
"LP11",4,9,1,9,2,1,0,16,3,7,4,4,1,8,2,2,7,4,1,7,7,3,20,3,9,2,10,10,4,10,13,3,2,1,1,1,1,1,1,1,1,9,1,9,2,1,0,16,3,3,3,5,1,3,0,11,3,11,6,11,1,5,14,7,5,23,12,7,5,3,4,1,18,3,9,6,2,2,1,12,9,12,6,5,2,4,15,9,9,3,3,2,3,1,1,1,1,1,1,1,23,12,7,5,3,4,1
"LP12",4,9,1,9,3,1,0,16,3,7,1,4,1,8,2,2,7,4,1,9,7,3,20,3,9,2,10,10,4,10,13,3,2,1,1,1,1,1,1,1,1,9,1,9,3,1,0,16,3,3,3,5,1,3,0,11,3,11,6,11,1,5,14,7,5,23,12,7,5,3,4,1,18,3,9,6,2,2,1,12,9,12,6,5,2,4,15,9,9,3,3,2,3,1,1,1,1,1,1,1,23,12,7,5,3,4,1
"LP13",8,9,1,9,3,1,0,15,3,7,1,4,1,9,3,2,7,4,1,9,9,3,30,3,9,11,10,10,4,10,17,3,11,1,1,1,1,1,1,1,1,9,1,9,3,1,0,15,3,3,3,5,1,3,0,11,3,11,6,11,1,5,14,7,5,1,12,7,5,3,4,1,1,2,9,6,2,2,1,2,9,12,6,5,2,4,15,9,9,3,3,2,3,1,1,1,1,1,1,1,1,12,7,5,3,4,1
"LP14",4,9,1,6,3,1,0,15,3,7,1,4,1,9,26,2,7,4,1,9,10,5,30,46,2,11,5,10,4,2,18,3,11,1,1,1,1,1,1,1,1,9,1,6,3,1,0,15,3,3,3,5,1,3,0,11,3,11,6,1,1,5,14,7,5,23,12,7,5,3,4,1,18,3,9,6,2,2,1,12,9,12,6,5,2,4,15,9,9,3,3,2,3,1,1,1,1,1,1,1,23,12,7,5,3,4,1
"LP15",8,10,1,1,3,1,0,15,3,7,1,4,1,9,26,2,7,4,1,9,10,5,29,46,2,11,5,10,4,2,20,3,11,1,1,1,1,1,1,1,1,10,1,1,3,1,0,15,3,3,3,5,1,3,0,11,3,11,6,1,1,5,14,7,5,4,12,7,5,3,4,1,1,2,9,6,2,2,1,4,9,12,6,5,2,4,14,7,5,3,3,2,3,1,1,1,1,1,1,1,4,12,7,5,3,4,1
"LP3",8,10,1,1,3,1,0,18,3,7,1,4,1,9,62,2,7,4,1,9,1,5,38,3,2,11,1,10,4,2,21,3,11,1,1,1,1,1,1,1,1,10,1,1,3,1,0,18,3,3,3,5,1,3,0,11,3,11,6,1,1,5,11,7,5,4,12,7,5,3,4,1,1,2,9,6,2,2,1,4,9,12,6,5,2,4,14,9,5,3,3,2,3,1,1,1,1,1,1,1,4,12,7,5,3,4,1
"LP4",8,10,1,1,3,1,0,18,3,7,1,4,1,9,59,5,7,4,1,9,1,5,5,3,2,11,7,1,4,2,44,3,11,1,1,1,1,1,1,1,1,10,1,1,3,1,0,18,3,3,3,5,1,3,0,30,3,11,6,1,1,5,10,7,5,4,12,7,6,3,4,1,1,2,9,6,2,2,1,4,9,12,6,5,5,1,14,7,5,3,3,2,3,1,1,1,1,1,1,1,4,12,7,6,3,4,1
"LP5",4,10,1,1,1,1,0,18,3,6,1,4,1,9,54,5,7,4,1,8,1,5,5,3,2,10,8,1,4,2,43,3,10,1,1,1,1,1,1,1,1,10,1,1,1,1,0,18,3,3,3,5,1,3,0,30,3,10,6,2,1,5,10,7,5,1,12,7,5,3,4,1,18,3,9,6,2,2,1,2,9,12,6,5,2,4,15,9,9,3,3,2,3,1,1,1,1,1,1,1,1,12,7,5,3,4,1
"LP6",8,10,1,1,1,1,0,18,3,6,1,4,1,9,54,5,7,4,1,8,1,5,42,3,8,10,4,1,4,2,43,3,10,1,1,1,1,1,1,1,1,10,1,1,1,1,0,18,3,3,3,5,1,3,0,32,3,10,6,2,11,5,10,15,5,1,12,7,5,3,4,1,18,3,9,2,2,2,1,2,9,12,6,5,2,4,14,9,9,3,3,2,3,1,1,1,1,1,1,1,1,12,7,5,3,4,1
"LP9",4,10,1,1,1,1,0,18,3,6,1,4,1,9,55,5,7,4,1,8,1,5,35,36,8,10,9,1,6,2,42,3,10,1,1,1,1,1,1,1,1,10,1,1,1,1,0,18,3,3,3,5,1,3,0,32,3,10,6,2,10,5,10,15,5,1,12,7,5,3,4,1,18,3,9,6,2,2,1,2,9,12,6,5,2,4,15,9,9,3,3,2,3,1,1,1,1,1,1,1,1,12,7,5,3,4,1
"PD13",2,10,1,1,1,1,0,18,3,6,1,4,1,1,55,5,7,4,1,8,1,4,35,36,8,10,3,2,6,2,42,3,10,1,1,1,1,1,1,1,1,10,1,1,1,1,0,18,3,3,3,5,1,3,0,10,3,10,6,2,10,5,10,15,5,19,5,10,9,1,4,2,17,11,2,2,2,2,1,24,2,7,8,2,4,4,2,10,8,2,2,2,3,1,1,1,1,1,1,1,19,5,10,9,1,4,2
"PD14",8,10,1,1,1,1,0,54,7,6,1,4,1,1,46,5,8,6,1,5,1,4,35,37,8,10,3,2,6,2,42,3,10,1,1,1,1,1,1,1,1,10,1,1,1,1,0,54,7,1,3,5,1,6,0,10,1,10,6,2,10,5,10,15,5,7,6,10,9,3,4,2,17,11,6,4,2,2,1,14,6,12,8,2,4,4,11,7,5,3,3,2,3,1,1,1,1,1,1,1,7,6,10,9,3,4,2
