Resample,GLMNet~Accuracy,kNN~Accuracy,NNet~Accuracy,NNet.Multinom~Accuracy,Rand.Forest~Accuracy,SVM.Radial~Accuracy,SVM.Linear~Accuracy,Transform,,,,
Fold1,0.92,0.84,0.96,0.92,0.96,0.96,0.96,Target,,,,
Fold2,0.814814815,0.777777778,0.740740741,0.777777778,0.814814815,0.814814815,0.777777778,Target,,,,
Fold3,0.8,0.8,0.88,0.8,0.8,0.8,0.88,Target,,,,
Fold4,0.92,0.84,0.92,0.92,0.84,0.88,0.88,Target,,,,
Fold5,0.875,0.833333333,0.833333333,0.833333333,0.875,0.833333333,0.875,Target,,,,
Fold1,0.96,0.52,0.84,0.76,0.88,0.8,0.92,Cell,,,,
Fold2,0.777777778,0.555555556,0.777777778,0.851851852,0.703703704,0.666666667,0.740740741,Cell,,,,
Fold3,0.88,0.72,0.8,0.84,0.88,0.8,0.84,Cell,,,,
Fold4,0.84,0.72,0.84,0.84,0.8,0.8,0.8,Cell,,,,
Fold5,0.791666667,0.666666667,0.791666667,0.708333333,0.875,0.916666667,0.833333333,Cell,,,,
Fold1,0.92,0.4,0.52,0.72,0.96,0.96,0.96,Raw,,,,
Fold2,0.814814815,0.62962963,0.407407407,0.666666667,0.814814815,0.814814815,0.777777778,Raw,,,,
Fold3,0.8,0.56,0.44,0.44,0.8,0.8,0.88,Raw,,,,
Fold4,0.92,0.64,0.52,0.48,0.84,0.88,0.88,Raw,,,,
Fold5,0.875,0.541666667,0.291666667,0.416666667,0.875,0.833333333,0.875,Raw,,,,
,,,,,,,,,,,,
Resample,GLMNet~Accuracy,kNN~Accuracy,NNet~Accuracy,NNet.Multinom~Accuracy,Rand.Forest~Accuracy,SVM.Radial~Accuracy,SVM.Linear~Accuracy,Transform,Maximums,,,
Min,0.8,0.777777778,0.740740741,0.777777778,0.8,0.8,0.777777778,Target,0.8,,Min,0.8
Max,0.92,0.84,0.96,0.92,0.96,0.96,0.96,Target,0.96,,Max,0.96
Median,0.875,0.833333333,0.88,0.833333333,0.84,0.833333333,0.88,Target,0.88,,Median,0.88
Mean,0.865962963,0.818222222,0.866814815,0.850222222,0.857962963,0.85762963,0.874555556,Target,0.874555556,,Mean,0.874555556
,,,,,,,,Target,,,,
Min,0.777777778,0.52,0.777777778,0.708333333,0.703703704,0.666666667,0.740740741,Cell,0.777777778,,,
Max,0.96,0.72,0.84,0.851851852,0.88,0.916666667,0.92,Cell,0.96,,,
Median,0.84,0.666666667,0.8,0.84,0.875,0.8,0.833333333,Cell,0.875,,,
Mean,0.849888889,0.636444444,0.809888889,0.800037037,0.827740741,0.796666667,0.826814815,Cell,0.849888889,,,
,,,,,,,,Cell,,,,
Min,0.8,0.4,0.291666667,0.416666667,0.8,0.8,0.777777778,Raw,0.8,,,
Max,0.92,0.64,0.52,0.72,0.96,0.96,0.96,Raw,0.96,,,
Median,0.875,0.56,0.44,0.48,0.84,0.833333333,0.88,Raw,0.88,,,
Mean,0.865962963,0.554259259,0.435814815,0.544666667,0.857962963,0.85762963,0.874555556,Raw,0.874555556,,,
,,,,,,,,Raw,,,,
MINIMUMS,0.777777778,0.4,0.291666667,0.416666667,0.703703704,0.666666667,0.740740741,,,,,
MAXIMUMS,0.96,0.84,0.96,0.92,0.96,0.96,0.96,,,,,
