"","Method","Distance","KL","CH","Hartigan","CCC","Scott","Marriot","TrCovW","TraceW","Friedman","Rubin","Cindex","DB","Silhouette","Duda","PseudoT2","Beale","Ratkowsky","Ball","PtBiserial","Frey","McClain","Dunn","Hubert","SDindex","Dindex","SDbw"
"1","ward.D","euclidean",2,2,6,2,-Inf,3,4,31,19,3,2,2,6,6,6,3,3,2,2,2,2,0,7,0,32,2
"2","ward.D","maximum",2,2,3,4,-Inf,3,3,24,21,3,2,2,8,8,8,3,3,2,2,2,2,0,2,0,32,2
"3","ward.D","manhattan",12,2,3,2,-Inf,3,3,30,12,11,2,2,11,11,11,3,3,2,4,2,2,0,12,0,32,12
"4","ward.D","canberra",5,5,4,2,-Inf,5,5,30,5,26,2,24,9,9,9,5,3,6,1,2,31,0,10,0,32,5
"5","ward.D","binary",26,5,5,2,-Inf,5,5,30,5,32,32,32,2,2,6,5,3,10,2,32,32,0,4,0,32,26
"6","ward.D","minkowski",2,2,6,2,-Inf,3,4,31,19,3,2,2,6,6,6,3,3,2,2,2,2,0,7,0,32,2
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ward.D2","euclidean",2,2,6,2,-Inf,3,4,31,19,3,2,2,6,6,6,3,3,2,2,2,2,0,7,0,32,2
"11","ward.D2","maximum",2,2,3,4,-Inf,3,3,24,21,3,2,2,8,8,8,3,3,2,2,2,2,0,2,0,32,2
"12","ward.D2","manhattan",12,2,3,2,-Inf,3,3,30,12,11,2,2,11,11,11,3,3,2,4,2,2,0,12,0,32,12
"13","ward.D2","canberra",5,5,4,2,-Inf,5,5,30,5,26,2,24,9,9,9,5,3,6,1,2,31,0,10,0,32,5
"14","ward.D2","binary",26,5,5,2,-Inf,5,5,30,5,32,32,32,2,2,6,5,3,10,2,32,32,0,4,0,32,26
"15","ward.D2","minkowski",2,2,6,2,-Inf,3,4,31,19,3,2,2,6,6,6,3,3,2,2,2,2,0,7,0,32,2
