id,GM.25,GM.26,GM.27,GM.29,GM.30,GM.31,GM.33,GM.34,GM.37,GM.38,GM.39,LP.01,LP.02,LP.03,LP.04,LP.06,LP.07,LP.08,LP.09,PD.10,PD.11,PD.12,PD.13,PD.14,PD.15,PD.16,PD.21,PD.22,PD.23,PD.24,VD.51,VD.52,VD.53,VD.54,VD.55,VD.56,VD.57,VD.58
c1,2,3,6,1,8,0,3,4,0,10,2,0,0,0,11,1,6,2,3,3,3,0,0,4,0,2,0,1,4,3,6,7,0,0,0,1,16,4
c2,8,5,5,3,15,35,6,6,6,12,8,0,0,4,7,0,4,15,14,2,6,1,0,4,0,0,16,7,4,1,32,3,12,21,0,5,26,8
c3,131,40,49,17,205,179,76,33,31,73,36,47,0,1,118,0,51,49,110,29,75,50,30,22,102,47,29,14,32,48,246,29,26,165,51,36,299,51
c4,22,8,16,14,49,5,18,11,4,14,4,18,0,8,10,0,5,17,24,11,12,4,50,1,0,12,4,10,11,9,66,17,0,10,4,16,0,22
c5,0,2,0,0,7,7,4,2,2,1,2,0,0,0,0,0,1,1,5,0,3,4,0,1,0,9,0,2,0,0,0,1,0,0,0,0,0,0
c6,10,6,2,3,10,0,3,0,1,1,3,0,0,0,10,0,0,0,2,2,4,1,0,2,0,3,2,0,4,1,6,1,0,0,10,2,0,5
c7_fragment2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c8,209,144,188,109,551,310,293,154,130,183,233,31,0,37,226,30,155,103,97,99,121,164,168,99,31,135,214,88,228,166,523,156,26,393,116,139,136,202
c9,9,10,29,6,45,12,8,6,8,16,11,13,0,5,10,0,8,7,26,1,4,9,0,2,0,5,29,13,3,25,44,2,0,25,39,18,32,14
c10,6,3,3,0,8,0,16,1,9,1,9,7,0,1,0,0,3,1,0,3,15,6,0,1,0,3,3,7,5,2,9,1,0,15,4,0,0,16
c11,14,2,0,0,14,4,2,8,1,4,6,0,0,0,1,0,3,4,2,4,4,3,0,2,0,0,1,1,2,0,11,5,0,7,0,7,12,6
c12,0,4,0,2,4,0,3,2,0,0,4,0,0,4,0,0,0,0,0,0,2,2,0,0,0,3,9,0,2,0,5,2,0,0,0,0,0,2
c13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
c14,3,5,1,3,1,0,5,6,1,1,4,0,0,1,0,0,1,1,6,0,1,3,0,3,0,2,6,0,0,0,8,5,0,0,0,5,3,4
c15,19,14,4,5,25,81,10,16,9,20,2,0,0,11,9,1,9,4,24,5,25,6,0,3,0,13,15,3,5,3,31,10,0,25,25,23,0,9
c16,15,16,9,9,58,11,9,5,4,8,12,0,0,13,9,0,11,5,4,10,8,14,0,5,0,12,18,1,7,3,49,5,0,16,5,9,0,18
c17,21,17,4,11,24,6,24,12,0,9,8,5,0,4,14,1,27,2,3,8,13,9,0,7,0,10,27,3,18,13,30,3,0,0,0,9,1,11
c18,81,119,135,83,280,147,167,99,47,142,73,14,0,21,86,0,111,94,134,103,109,178,15,67,0,133,197,59,123,53,636,145,48,114,82,112,103,120
c19,8,18,26,10,62,18,19,19,12,18,17,3,0,19,11,3,17,11,43,4,9,6,0,10,0,7,39,3,10,5,54,14,25,54,13,17,0,19
